Symbol,Strike,Last,% From Last,Bid,Midpoint,Ask,Change,%Chg,IV,Volume,Open Int,Type,DTE,Exp Date,Time,Avg IV
SPY|20210115|135.00C,135,176.56,-56.76%,177.65,178.27,178.89,176.56,unch,32.21%,11000,2344,Call,197,01/15/21,06/18/20,0.00%
SPY|20210115|140.00C,140,171.85,-55.16%,172.7,173.32,173.93,-2.01,-1.16%,34.14%,7700,1668,Call,197,01/15/21,06/18/20,0.00%
SPY|20210115|145.00C,145,166.86,-53.56%,167.74,168.36,168.98,166.86,unch,34.24%,6600,1,Call,197,01/15/21,06/18/20,0.00%
SPY|20210115|150.00C,150,161.43,-51.96%,162.79,163.41,164.02,161.43,unch,33.83%,600,15,Call,197,01/15/21,06/18/20,0.00%
SPY|20210115|155.00C,155,158.25,-50.36%,157.85,158.47,159.08,7.1,+4.70%,3.89%,10,1408,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|160.00C,160,151.4,-48.76%,152.92,153.54,154.15,151.4,unch,34.96%,2,908,Call,197,01/15/21,06/19/20,0.00%
SPY|20210115|165.00C,165,149.12,-47.15%,147.99,148.61,149.22,2.06,+1.40%,44.02%,3,827,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|170.00C,170,152.01,-45.55%,143.07,143.69,144.3,152.01,unch,34.61%,0,112,Call,197,01/15/21,N/A,0.00%
SPY|20210115|175.00C,175,133.61,-43.95%,138.19,138.8,139.41,-3.5,-2.55%,34.89%,4,1296,Call,197,01/15/21,06/22/20,0.00%
SPY|20210115|180.00C,180,126.75,-42.35%,133.3,133.92,134.53,126.75,unch,34.72%,0,838,Call,197,01/15/21,N/A,0.00%
SPY|20210115|185.00C,185,99.77,-40.75%,128.29,128.99,129.68,99.77,unch,33.65%,0,1212,Call,197,01/15/21,N/A,0.00%
SPY|20210115|190.00C,190,114.5,-39.15%,123.63,124.25,124.86,114.5,unch,34.72%,0,1172,Call,197,01/15/21,N/A,0.00%
SPY|20210115|191.00C,191,114.51,-38.83%,122.67,123.28,123.89,114.51,unch,34.67%,0,1070,Call,197,01/15/21,N/A,0.00%
SPY|20210115|192.00C,192,97.22,-38.51%,121.7,122.32,122.93,97.22,unch,34.61%,0,557,Call,197,01/15/21,N/A,0.00%
SPY|20210115|193.00C,193,96.39,-38.19%,120.74,121.35,121.97,96.39,unch,34.58%,0,294,Call,197,01/15/21,N/A,0.00%
SPY|20210115|194.00C,194,118.67,-37.87%,119.78,120.39,121,118.67,unch,34.50%,0,82,Call,197,01/15/21,N/A,0.00%
SPY|20210115|195.00C,195,100.45,-37.55%,118.82,119.43,120.04,100.45,unch,34.45%,0,34,Call,197,01/15/21,N/A,0.00%
SPY|20210115|196.00C,196,0,-37.23%,117.87,118.48,119.09,0,unch,34.47%,0,0,Call,197,01/15/21,N/A,0.00%
SPY|20210115|197.00C,197,65.39,-36.91%,116.92,117.54,118.16,65.39,unch,34.56%,0,9,Call,197,01/15/21,N/A,0.00%
SPY|20210115|198.00C,198,64.11,-36.59%,115.96,116.58,117.2,64.11,unch,34.48%,0,1,Call,197,01/15/21,N/A,0.00%
SPY|20210115|199.00C,199,93,-36.26%,115.01,115.63,116.25,93,unch,34.46%,0,2,Call,197,01/15/21,N/A,0.00%
SPY|20210115|200.00C,200,115.83,-35.94%,114.06,114.68,115.3,7.07,+6.50%,40.59%,1,851,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|201.00C,201,67,-35.62%,113.12,113.74,114.35,67,unch,34.42%,0,229,Call,197,01/15/21,N/A,0.00%
SPY|20210115|202.00C,202,83,-35.30%,112.17,112.79,113.41,83,unch,34.40%,0,301,Call,197,01/15/21,N/A,0.00%
SPY|20210115|203.00C,203,63.81,-34.98%,111.22,111.84,112.46,63.81,unch,34.34%,0,252,Call,197,01/15/21,N/A,0.00%
SPY|20210115|204.00C,204,65.29,-34.66%,110.27,110.89,111.51,65.29,unch,34.26%,0,220,Call,197,01/15/21,N/A,0.00%
SPY|20210115|205.00C,205,110.55,-34.34%,109.32,109.94,110.56,27.37,+32.90%,37.33%,3,296,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|206.00C,206,115.45,-34.02%,108.38,109,109.62,115.45,unch,34.15%,0,566,Call,197,01/15/21,N/A,0.00%
SPY|20210115|207.00C,207,62.56,-33.70%,107.44,108.06,108.67,62.56,unch,34.09%,0,267,Call,197,01/15/21,N/A,0.00%
SPY|20210115|208.00C,208,95.67,-33.38%,106.5,107.12,107.73,95.67,unch,34.04%,2,267,Call,197,01/15/21,06/15/20,0.00%
SPY|20210115|209.00C,209,51.92,-33.06%,105.56,106.18,106.79,51.92,unch,33.98%,0,251,Call,197,01/15/21,N/A,0.00%
SPY|20210115|210.00C,210,102.89,-32.74%,104.63,105.25,105.86,2.09,+2.07%,33.96%,41,245,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|211.00C,211,78.12,-32.42%,103.7,104.32,104.93,78.12,unch,33.93%,0,5,Call,197,01/15/21,N/A,0.00%
SPY|20210115|212.00C,212,78.98,-32.10%,103.1,103.35,103.59,78.98,unch,33.70%,0,3,Call,197,01/15/21,N/A,0.00%
SPY|20210115|213.00C,213,57.84,-31.78%,102.17,102.41,102.66,57.84,unch,33.66%,0,5,Call,197,01/15/21,N/A,0.00%
SPY|20210115|214.00C,214,76.33,-31.46%,100.91,101.53,102.14,76.33,unch,33.79%,0,1,Call,197,01/15/21,N/A,0.00%
SPY|20210115|215.00C,215,91,-31.14%,100.31,100.56,100.8,91,unch,33.55%,0,16,Call,197,01/15/21,N/A,0.00%
SPY|20210115|216.00C,216,0,-30.82%,99.39,99.63,99.87,0,unch,33.50%,0,1,Call,197,01/15/21,N/A,0.00%
SPY|20210115|217.00C,217,96.43,-30.50%,98.49,98.72,98.94,96.43,unch,33.49%,0,10,Call,197,01/15/21,N/A,0.00%
SPY|20210115|218.00C,218,86.37,-30.18%,97.57,97.79,98.02,86.37,unch,33.44%,1,51,Call,197,01/15/21,06/15/20,0.00%
SPY|20210115|219.00C,219,94.49,-29.86%,96.65,96.88,97.1,94.49,unch,33.39%,0,2,Call,197,01/15/21,N/A,0.00%
SPY|20210115|220.00C,220,93.9,-29.54%,95.73,95.96,96.18,-1.79,-1.87%,33.33%,3,191,Call,197,01/15/21,06/19/20,0.00%
SPY|20210115|221.00C,221,94.28,-29.22%,94.79,95.03,95.27,94.28,unch,33.24%,2,1018,Call,197,01/15/21,06/16/20,0.00%
SPY|20210115|222.00C,222,68.44,-28.90%,93.88,94.12,94.35,68.44,unch,33.18%,0,99,Call,197,01/15/21,N/A,0.00%
SPY|20210115|223.00C,223,44.5,-28.58%,92.96,93.2,93.44,44.5,unch,33.11%,0,168,Call,197,01/15/21,N/A,0.00%
SPY|20210115|224.00C,224,90.24,-28.26%,92.05,92.29,92.53,90.24,unch,33.06%,1,195,Call,197,01/15/21,06/18/20,0.00%
SPY|20210115|225.00C,225,89.59,-27.94%,91.15,91.39,91.62,-3.52,-3.78%,33.01%,1,529,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|226.00C,226,67.1,-27.62%,90.24,90.48,90.72,67.1,unch,32.95%,0,276,Call,197,01/15/21,N/A,0.00%
SPY|20210115|227.00C,227,61.8,-27.30%,89.33,89.57,89.8,61.8,unch,32.86%,0,294,Call,197,01/15/21,N/A,0.00%
SPY|20210115|228.00C,228,87.2,-26.98%,88.45,88.68,88.91,87.2,unch,32.85%,1,297,Call,197,01/15/21,06/18/20,0.00%
SPY|20210115|229.00C,229,79.2,-26.66%,87.53,87.77,88,79.2,unch,32.74%,0,241,Call,197,01/15/21,N/A,0.00%
SPY|20210115|230.00C,230,81.5,-26.34%,86.63,86.87,87.1,-7.02,-7.93%,32.67%,100,581,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|231.00C,231,79.54,-26.02%,85.73,85.97,86.2,18.15,+29.57%,32.59%,20,484,Call,197,01/15/21,06/25/20,0.00%
SPY|20210115|232.00C,232,69.67,-25.70%,84.86,85.09,85.31,69.67,unch,32.56%,0,21,Call,197,01/15/21,N/A,0.00%
SPY|20210115|233.00C,233,90.07,-25.38%,83.97,84.2,84.42,90.07,unch,32.50%,0,37,Call,197,01/15/21,N/A,0.00%
SPY|20210115|234.00C,234,56.37,-25.06%,83.06,83.3,83.53,56.37,unch,32.40%,0,16,Call,197,01/15/21,N/A,0.00%
SPY|20210115|235.00C,235,83.2,-24.73%,82.17,82.4,82.63,5.93,+7.67%,34.38%,7,274,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|236.00C,236,56.04,-24.41%,81.31,81.54,81.76,56.04,unch,32.29%,0,132,Call,197,01/15/21,N/A,0.00%
SPY|20210115|237.00C,237,86.58,-24.09%,80.43,80.66,80.88,86.58,unch,32.22%,0,35,Call,197,01/15/21,N/A,0.00%
SPY|20210115|238.00C,238,81.24,-23.77%,79.52,79.76,79.99,81.24,unch,32.10%,2,1513,Call,197,01/15/21,06/16/20,0.00%
SPY|20210115|239.00C,239,77.79,-23.45%,78.64,78.87,79.1,77.79,unch,32.01%,1,325,Call,197,01/15/21,06/18/20,0.00%
SPY|20210115|240.00C,240,78.35,-23.13%,77.77,78,78.22,4.16,+5.61%,32.79%,1,1432,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|241.00C,241,70.74,-22.81%,76.89,77.12,77.35,-4.36,-5.81%,31.85%,10,1063,Call,197,01/15/21,06/25/20,0.00%
SPY|20210115|242.00C,242,83.05,-22.49%,76.02,76.25,76.47,83.05,unch,31.77%,0,1413,Call,197,01/15/21,N/A,0.00%
SPY|20210115|243.00C,243,79.29,-22.17%,75.17,75.39,75.61,79.29,unch,31.72%,0,994,Call,197,01/15/21,N/A,0.00%
SPY|20210115|244.00C,244,73.2,-21.85%,74.28,74.51,74.73,-3.46,-4.51%,31.60%,1,1084,Call,197,01/15/21,06/18/20,0.00%
SPY|20210115|245.00C,245,71.74,-21.53%,73.42,73.65,73.87,-2.1,-2.84%,31.52%,1,1533,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|246.00C,246,66.59,-21.21%,72.55,72.78,73.01,66.59,unch,31.43%,0,691,Call,197,01/15/21,N/A,0.00%
SPY|20210115|247.00C,247,66.84,-20.89%,71.69,71.91,72.14,66.84,unch,31.34%,0,249,Call,197,01/15/21,N/A,0.00%
SPY|20210115|248.00C,248,72.73,-20.57%,70.86,71.08,71.29,72.73,unch,31.29%,2,590,Call,197,01/15/21,06/16/20,0.00%
SPY|20210115|249.00C,249,60.19,-20.25%,69.99,70.21,70.43,60.19,unch,31.18%,1,792,Call,197,01/15/21,06/15/20,0.00%
SPY|20210115|250.00C,250,68.66,-19.93%,69.13,69.35,69.58,0.34,+0.50%,29.63%,7,5871,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|251.00C,251,62.94,-19.61%,68.28,68.51,68.73,14.63,+30.28%,31.00%,20,837,Call,197,01/15/21,06/25/20,0.00%
SPY|20210115|252.00C,252,60.5,-19.29%,67.31,67.7,68.09,-12.28,-16.87%,30.99%,2,566,Call,197,01/15/21,06/25/20,0.00%
SPY|20210115|253.00C,253,67.25,-18.97%,66.46,66.85,67.25,1.25,+1.89%,31.66%,2,814,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|254.00C,254,46.13,-18.65%,65.61,66.01,66.4,46.13,unch,30.79%,0,1482,Call,197,01/15/21,N/A,0.00%
SPY|20210115|255.00C,255,56.5,-18.33%,64.77,65.16,65.56,-3.14,-5.26%,30.69%,1,3238,Call,197,01/15/21,06/26/20,0.00%
SPY|20210115|256.00C,256,66.2,-18.01%,63.94,64.33,64.72,6.3,+10.52%,30.60%,3,780,Call,197,01/15/21,06/16/20,0.00%
SPY|20210115|257.00C,257,66.67,-17.69%,63.1,63.5,63.89,66.67,unch,30.50%,0,357,Call,197,01/15/21,N/A,0.00%
SPY|20210115|258.00C,258,61.4,-17.37%,62.27,62.67,63.06,61.4,unch,30.41%,0,696,Call,197,01/15/21,N/A,0.00%
SPY|20210115|259.00C,259,60.18,-17.05%,61.44,61.83,62.23,-6.82,-10.18%,30.30%,4,889,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|260.00C,260,61.75,-16.73%,60.61,61,61.4,2.95,+5.02%,31.48%,2,4110,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|261.00C,261,60.33,-16.41%,59.79,60.19,60.58,60.33,unch,30.10%,1,1274,Call,197,01/15/21,06/18/20,0.00%
SPY|20210115|262.00C,262,53.96,-16.09%,58.97,59.36,59.75,-5.32,-8.97%,29.99%,14,888,Call,197,01/15/21,06/25/20,0.00%
SPY|20210115|263.00C,263,53.08,-15.77%,58.15,58.54,58.93,-10.36,-16.33%,29.88%,27,518,Call,197,01/15/21,06/25/20,0.00%
SPY|20210115|264.00C,264,51.74,-15.45%,57.33,57.72,58.12,51.74,unch,29.78%,0,579,Call,197,01/15/21,N/A,0.00%
SPY|20210115|265.00C,265,50.15,-15.13%,56.51,56.91,57.3,-2.33,-4.44%,29.66%,10,3633,Call,197,01/15/21,06/29/20,0.00%
SPY|20210115|266.00C,266,49.42,-14.81%,55.7,56.1,56.5,0.99,+2.04%,29.56%,1,1532,Call,197,01/15/21,06/26/20,0.00%
SPY|20210115|267.00C,267,48.94,-14.49%,54.9,55.3,55.69,48.94,unch,29.45%,0,771,Call,197,01/15/21,N/A,0.00%
SPY|20210115|268.00C,268,56.14,-14.17%,54.09,54.49,54.88,7.45,+15.30%,29.34%,5,205,Call,197,01/15/21,06/23/20,0.00%
SPY|20210115|269.00C,269,60.6,-13.85%,53.29,53.69,54.08,60.6,unch,29.23%,0,570,Call,197,01/15/21,N/A,0.00%
SPY|20210115|270.00C,270,52.23,-13.53%,52.5,52.89,53.29,1.14,+2.23%,28.10%,174,5458,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|271.00C,271,52.59,-13.21%,51.71,52.1,52.49,2.98,+6.01%,29.75%,6,747,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|272.00C,272,48.68,-12.88%,50.91,51.31,51.7,48.68,unch,28.89%,0,2914,Call,197,01/15/21,N/A,0.00%
SPY|20210115|273.00C,273,52.23,-12.56%,50.13,50.52,50.91,6.36,+13.87%,28.78%,1,1481,Call,197,01/15/21,06/23/20,0.00%
SPY|20210115|274.00C,274,51.47,-12.24%,49.34,49.73,50.12,51.47,unch,28.66%,3,718,Call,197,01/15/21,06/16/20,0.00%
SPY|20210115|275.00C,275,50.71,-11.92%,48.55,48.95,49.34,3.28,+6.92%,31.05%,4,4943,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|276.00C,276,47.07,-11.60%,47.77,48.16,48.55,4.64,+10.94%,28.41%,2,683,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|277.00C,277,46.45,-11.28%,47,47.39,47.77,3.38,+7.85%,28.29%,1,696,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|278.00C,278,46.68,-10.96%,46.22,46.61,47,0.07,+0.15%,28.17%,30,313,Call,197,01/15/21,06/22/20,0.00%
SPY|20210115|279.00C,279,44.24,-10.64%,45.45,45.84,46.23,44.24,unch,28.05%,0,646,Call,197,01/15/21,N/A,0.00%
SPY|20210115|280.00C,280,45.78,-10.32%,44.69,45.08,45.46,1.78,+4.05%,28.89%,25,5540,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|281.00C,281,40.8,-10.00%,43.92,44.31,44.7,2.6,+6.81%,27.80%,1,14518,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|282.00C,282,39.17,-9.68%,43.17,43.55,43.93,-5.7,-12.70%,27.67%,22,1293,Call,197,01/15/21,06/25/20,0.00%
SPY|20210115|283.00C,283,38.49,-9.36%,42.41,42.8,43.18,-0.66,-1.69%,27.55%,19,699,Call,197,01/15/21,06/25/20,0.00%
SPY|20210115|284.00C,284,40.8,-9.04%,41.65,42.04,42.42,2.9,+7.65%,27.41%,4,1613,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|285.00C,285,41.7,-8.72%,40.9,41.29,41.67,1.21,+2.99%,27.82%,3,5933,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|286.00C,286,40.7,-8.40%,40.16,40.54,40.92,3,+7.96%,27.36%,1,1697,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|287.00C,287,40.02,-8.08%,39.41,39.79,40.17,4.62,+13.05%,27.30%,7,5652,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|288.00C,288,35.72,-7.76%,38.67,39.05,39.43,35.72,unch,26.88%,8,1358,Call,197,01/15/21,06/15/20,0.00%
SPY|20210115|289.00C,289,35.55,-7.44%,37.94,38.32,38.69,-3.82,-9.70%,26.74%,6,854,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|290.00C,290,37.89,-7.12%,37.2,37.58,37.95,1.88,+5.22%,26.99%,24,5208,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|291.00C,291,30.64,-6.80%,36.48,36.85,37.22,-4.79,-13.52%,26.46%,26,1245,Call,197,01/15/21,06/26/20,0.00%
SPY|20210115|292.00C,292,29.34,-6.48%,35.75,36.12,36.49,-8.66,-22.79%,26.32%,44,1195,Call,197,01/15/21,06/29/20,0.00%
SPY|20210115|293.00C,293,31.7,-6.16%,35.03,35.4,35.77,2.81,+9.73%,26.18%,2,504,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|294.00C,294,28.06,-5.84%,34.31,34.68,35.05,-4.41,-13.58%,26.03%,35,3206,Call,197,01/15/21,06/29/20,0.00%
SPY|20210115|295.00C,295,34.6,-5.52%,33.6,33.97,34.34,4.05,+13.26%,26.65%,4,5174,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|296.00C,296,33.39,-5.20%,32.89,33.25,33.62,6.59,+24.59%,25.90%,1,1238,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|297.00C,297,28.24,-4.88%,32.19,32.56,32.92,1.66,+6.25%,25.60%,44,858,Call,197,01/15/21,06/29/20,0.00%
SPY|20210115|298.00C,298,30.08,-4.56%,31.49,31.85,32.21,2.65,+9.66%,25.45%,1,974,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|299.00C,299,26.85,-4.24%,30.8,31.16,31.52,1.9,+7.62%,25.31%,23,1462,Call,197,01/15/21,06/30/20,0.00%
SPY|20210115|300.00C,300,30.25,-3.92%,30.11,30.47,30.82,1.35,+4.67%,24.91%,151,21219,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|301.00C,301,29,-3.60%,29.42,29.78,30.13,0.8,+2.84%,25.01%,4,1346,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|302.00C,302,27.79,-3.28%,28.74,29.08,29.41,2.21,+8.64%,24.84%,13,1318,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|303.00C,303,27.51,-2.96%,28.07,28.34,28.6,3.12,+12.79%,24.61%,21,1484,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|304.00C,304,27.64,-2.64%,27.4,27.74,28.09,0.84,+3.13%,24.44%,1,1583,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|305.00C,305,26.92,-2.32%,26.73,27.08,27.42,0.54,+2.05%,24.23%,37,17840,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|306.00C,306,26.43,-2.00%,26.07,26.42,26.76,1.32,+5.26%,24.27%,25,1537,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|307.00C,307,26,-1.68%,25.42,25.76,26.1,1.7,+7.00%,24.37%,1,1089,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|308.00C,308,25.43,-1.35%,24.77,25.11,25.45,2.35,+10.18%,24.30%,92,5794,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|309.00C,309,24.7,-1.03%,24.12,24.46,24.8,1.9,+8.33%,24.05%,22,1677,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|310.00C,310,23.25,-0.71%,23.48,23.81,24.15,0.17,+0.74%,22.99%,316,7160,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|311.00C,311,23.85,-0.39%,22.85,23.19,23.52,1.42,+6.33%,24.20%,8,1857,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|312.00C,312,22.25,-0.07%,22.22,22.56,22.89,0.88,+4.12%,22.97%,5,1277,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|313.00C,313,22.07,+0.25%,21.59,21.93,22.27,1.02,+4.85%,23.30%,6,2370,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|314.00C,314,21.78,+0.57%,20.97,21.31,21.64,1.12,+5.42%,23.50%,23,2073,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|315.00C,315,20.2,+0.89%,20.36,20.7,21.03,0.26,+1.30%,22.28%,315,4091,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|316.00C,316,20.41,+1.21%,19.75,20.09,20.42,1.06,+5.48%,23.01%,43,1772,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|317.00C,317,20.27,+1.53%,19.15,19.49,19.82,1.67,+8.98%,23.34%,1,781,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|318.00C,318,18.33,+1.85%,18.55,18.89,19.23,2.9,+18.79%,22.32%,103,944,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|319.00C,319,14.74,+2.17%,17.96,18.3,18.64,-0.56,-3.66%,22.15%,1,2157,Call,197,01/15/21,06/26/20,0.00%
SPY|20210115|320.00C,320,17.38,+2.49%,17.38,17.69,18,0.18,+1.05%,21.61%,345,6161,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|321.00C,321,18.16,+2.81%,16.81,17.15,17.48,1.68,+10.19%,22.92%,147,976,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|322.00C,322,17.46,+3.13%,16.25,16.59,16.92,1.52,+9.54%,22.61%,22,2065,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|323.00C,323,16.84,+3.45%,15.7,16.03,16.36,3.32,+24.56%,22.37%,40,1914,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|324.00C,324,16.03,+3.77%,15.15,15.48,15.81,1.08,+7.22%,21.92%,63,1106,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|325.00C,325,14.91,+4.09%,14.64,14.96,15.27,0.71,+5.00%,21.12%,187,5697,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|326.00C,326,14.6,+4.41%,14.09,14.42,14.74,2.11,+16.89%,21.19%,133,2409,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|327.00C,327,13.31,+4.73%,13.57,13.89,14.21,2.25,+20.34%,20.82%,1,2028,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|328.00C,328,13.85,+5.05%,13.06,13.38,13.7,3.24,+30.54%,21.18%,20,1102,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|329.00C,329,12.61,+5.37%,12.56,12.88,13.19,0.51,+4.21%,20.20%,65,1046,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|330.00C,330,12.32,+5.69%,12.07,12.38,12.69,0.48,+4.05%,20.26%,246,11312,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|331.00C,331,12.05,+6.01%,11.59,11.9,12.2,3.21,+36.31%,20.34%,44,1257,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|332.00C,332,11.06,+6.33%,11.11,11.42,11.73,1.01,+10.05%,19.59%,5,1561,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|333.00C,333,10.58,+6.65%,10.65,10.96,11.26,0.38,+3.73%,19.41%,10,1305,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|334.00C,334,9.92,+6.97%,10.2,10.5,10.8,1.14,+12.98%,19.68%,3,661,Call,197,01/15/21,07/01/20,0.00%
SPY|20210115|335.00C,335,10.54,+7.29%,9.76,10.06,10.35,1.23,+13.21%,20.08%,12,3322,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|336.00C,336,10.17,+7.61%,9.33,9.63,9.92,2.41,+31.06%,20.01%,68,873,Call,197,01/15/21,07/02/20,0.00%
SPY|20210115|337.00C,337,9.35,+7.93%,8.91,9.2,9.49,1.8,+23.84%,19.38%,26,797,Call,197,01/15/21,07/02/20,0.00%
