Strike,Last,% From Last,Bid,Midpoint,Ask,Change,%Chg,IV,Volume,Open Int,Type,Time
302,11.3,-3.28%,11.75,11.88,12.01,0.43,+3.96%,23.74%,128,1257,Call,07/02/20
303,10.93,-2.96%,10.88,11,11.12,1.39,+14.57%,27.12%,349,2706,Call,07/02/20
304,9.93,-2.64%,10.02,10.13,10.23,1.17,+13.36%,25.41%,372,3194,Call,07/02/20
305,9.24,-2.32%,9.23,9.29,9.34,1.15,+14.22%,25.77%,519,3455,Call,07/02/20
306,8.33,-2.00%,8.4,8.46,8.51,1.12,+15.53%,24.51%,2830,2371,Call,07/02/20
307,7.58,-1.68%,7.59,7.65,7.71,1.2,+18.81%,24.15%,361,1624,Call,07/02/20
308,6.8,-1.35%,6.81,6.86,6.9,1,+17.24%,23.45%,643,1666,Call,07/02/20
309,6.08,-1.03%,6.06,6.1,6.13,0.96,+18.75%,22.95%,582,1776,Call,07/02/20
310,5.41,-0.71%,5.35,5.38,5.41,0.95,+21.30%,22.55%,9307,5297,Call,07/02/20
311,4.73,-0.39%,4.65,4.69,4.72,0.86,+22.22%,21.91%,1896,5228,Call,07/02/20
312,4.06,-0.07%,4.01,4.04,4.07,0.76,+23.03%,21.13%,8491,5568,Call,07/02/20
313,3.43,+0.25%,3.4,3.44,3.47,0.56,+19.51%,20.35%,3735,4812,Call,07/02/20
314,2.9,+0.57%,2.85,2.88,2.9,0.49,+20.33%,19.88%,9866,4792,Call,07/02/20
315,2.35,+0.89%,2.34,2.37,2.4,0.37,+18.69%,19.04%,20733,15901,Call,07/02/20
316,1.91,+1.21%,1.89,1.92,1.95,0.25,+15.06%,18.54%,7446,3717,Call,07/02/20
317,1.56,+1.53%,1.51,1.54,1.56,0.19,+13.87%,18.28%,6818,4313,Call,07/02/20
318,1.19,+1.85%,1.18,1.2,1.22,0.09,+8.18%,17.59%,5410,2882,Call,07/02/20
319,0.92,+2.17%,0.92,0.94,0.95,0,unch,17.23%,6387,2321,Call,07/02/20
320,0.71,+2.49%,0.71,0.72,0.72,-0.03,-4.05%,17.01%,42618,11969,Call,07/02/20
321,0.52,+2.81%,0.52,0.54,0.55,-0.06,-10.34%,16.61%,4372,1821,Call,07/02/20
322,0.38,+3.13%,0.39,0.4,0.41,-0.09,-19.15%,16.35%,3498,7159,Call,07/02/20
323,0.3,+3.45%,0.29,0.3,0.31,-0.09,-23.08%,16.50%,2905,1624,Call,07/02/20
324,0.23,+3.77%,0.21,0.22,0.23,-0.09,-28.13%,16.56%,2713,3120,Call,07/02/20
325,0.17,+4.09%,0.16,0.17,0.18,-0.09,-34.62%,16.52%,40153,24108,Call,07/02/20
326,0.13,+4.41%,0.12,0.13,0.13,-0.07,-35.00%,16.63%,2639,1842,Call,07/02/20
327,0.09,+4.73%,0.09,0.1,0.1,-0.09,-50.00%,16.47%,1376,2215,Call,07/02/20
328,0.07,+5.05%,0.07,0.08,0.08,-0.08,-53.33%,16.67%,1387,1777,Call,07/02/20
329,0.04,+5.37%,0.05,0.06,0.06,-0.1,-71.43%,16.14%,1241,1279,Call,07/02/20
330,0.04,+5.69%,0.04,0.05,0.05,-0.06,-60.00%,16.94%,5149,6136,Call,07/02/20
331,0.03,+6.01%,0.03,0.04,0.04,-0.07,-70.00%,17.07%,1948,3155,Call,07/02/20
332,0.02,+6.33%,0.02,0.03,0.03,-0.08,-80.00%,16.97%,779,194,Call,07/02/20
333,0.03,+6.65%,0.02,0.03,0.03,-0.03,-50.00%,18.60%,1016,2309,Call,07/02/20
334,0.02,+6.97%,0.01,0.02,0.02,-0.03,-60.00%,18.43%,737,134,Call,07/02/20
335,0.02,+7.29%,0.01,0.02,0.02,-0.03,-60.00%,19.15%,1676,3255,Call,07/02/20
336,0.02,+7.61%,0.01,0.02,0.02,-0.03,-60.00%,19.86%,499,916,Call,07/02/20
337,0.01,+7.93%,0,0.01,0.01,-0.04,-80.00%,19.08%,283,737,Call,07/02/20
338,0.01,+8.25%,0,0.01,0.01,-0.02,-66.67%,19.75%,46,599,Call,07/02/20
339,0.02,+8.57%,0,0.01,0.01,-0.02,-50.00%,21.98%,31,180,Call,07/02/20
340,0.01,+8.89%,0.01,0.02,0.02,-0.02,-66.67%,21.06%,244,2124,Call,07/02/20
341,0.01,+9.21%,0,0.01,0.01,-0.01,-50.00%,21.71%,217,712,Call,07/02/20
342,0.02,+9.53%,0,0.01,0.01,-0.01,-33.33%,24.05%,5,396,Call,07/02/20
343,0.01,+9.85%,0,0.01,0.01,-0.01,-50.00%,23.01%,1,618,Call,07/02/20
344,0.01,+10.18%,0,0.01,0.01,-0.01,-50.00%,23.65%,21,1003,Call,07/02/20
345,0.01,+10.50%,0,0.01,0.01,-0.01,-50.00%,24.28%,182,5391,Call,07/02/20
346,0.01,+10.82%,0,0.01,0.01,-0.01,-50.00%,24.91%,21,851,Call,07/02/20
347,0.01,+11.14%,0,0.01,0.01,-0.01,-50.00%,25.54%,19,645,Call,07/02/20
348,0.02,+11.46%,0,0.01,0.01,0,unch,0.00%,25,857,Call,07/01/20
349,0.01,+11.78%,0,0.01,0.01,-0.01,-50.00%,26.79%,3,776,Call,07/02/20
350,0.01,+12.10%,0,0.01,0.01,0,unch,27.41%,1,1679,Call,07/02/20
351,0.01,+12.42%,0,0.01,0.01,0,unch,0.00%,1,37,Call,07/01/20
352,0.02,+12.74%,0,0.01,0.01,0.01,+100.00%,0.00%,22,308,Call,07/01/20
353,0.01,+13.06%,0,0.01,0.01,-0.01,-50.00%,0.00%,23,114,Call,07/01/20
355,0.01,+13.70%,0,0.01,0.01,-0.02,-66.67%,0.00%,108,1311,Call,06/24/20
360,0.01,+15.30%,0,0.01,0.01,-0.01,-50.00%,0.00%,1,2252,Call,06/29/20
365,0.01,+16.90%,0,0.01,0.01,0,unch,0.00%,514,1722,Call,06/26/20
370,0.01,+18.50%,0,0.01,0.01,0,unch,0.00%,20,679,Call,06/24/20
375,0.02,+20.10%,0,0.01,0.01,-0.01,-33.33%,0.00%,7,485,Call,06/19/20
380,0.01,+21.71%,0,0.01,0.01,0,unch,0.00%,2292,3141,Call,06/26/20
385,0.03,+23.31%,0,0.01,0.01,0.01,+50.00%,0.00%,4,27,Call,06/16/20
390,0.01,+24.91%,0,0.01,0.01,0,unch,0.00%,5,143,Call,06/19/20
155,0.01,-50.36%,0,0.01,0.01,-0.01,-50.00%,0.00%,10,637,Put,07/01/20
160,0.01,-48.76%,0,0.01,0.01,-0.01,-50.00%,0.00%,3280,3809,Put,07/01/20
165,0.01,-47.15%,0,0.01,0.01,-0.01,-50.00%,0.00%,5340,5350,Put,07/01/20
170,0.01,-45.55%,0,0.01,0.01,-0.01,-50.00%,0.00%,65,772,Put,07/01/20
175,0.02,-43.95%,0,0.01,0.01,-0.03,-60.00%,0.00%,10,333,Put,06/29/20
180,0.01,-42.35%,0.01,0.02,0.02,-0.01,-50.00%,123.03%,100,194,Put,07/01/20
185,0.01,-40.75%,0.01,0.02,0.02,-0.01,-50.00%,113.39%,4409,760,Put,07/02/20
190,0.01,-39.15%,0.01,0.02,0.02,-0.01,-50.00%,107.95%,1,1171,Put,07/02/20
195,0.01,-37.55%,0.01,0.02,0.02,-0.01,-50.00%,102.65%,32,374,Put,07/02/20
200,0.02,-35.94%,0.01,0.02,0.02,0,unch,103.48%,103,3511,Put,07/02/20
205,0.02,-34.34%,0.01,0.02,0.02,0,unch,98.14%,1,1989,Put,07/02/20
210,0.01,-32.74%,0.01,0.02,0.02,-0.01,-50.00%,87.46%,1,2426,Put,07/02/20
215,0.02,-31.14%,0.01,0.02,0.02,-0.01,-33.33%,87.81%,100,1206,Put,07/02/20
220,0.02,-29.54%,0.01,0.02,0.02,-0.01,-33.33%,82.80%,349,994,Put,07/02/20
225,0.03,-27.94%,0.02,0.03,0.03,-0.01,-25.00%,81.00%,98,1284,Put,07/02/20
230,0.03,-26.34%,0.02,0.03,0.03,-0.01,-25.00%,76.01%,45,1611,Put,07/02/20
235,0.03,-24.73%,0.02,0.03,0.03,-0.02,-40.00%,71.12%,62,1344,Put,07/02/20
240,0.03,-23.13%,0.03,0.04,0.04,-0.02,-40.00%,66.30%,254,1531,Put,07/02/20
245,0.04,-21.53%,0.03,0.04,0.04,-0.03,-42.86%,63.47%,28,1940,Put,07/02/20
250,0.05,-19.93%,0.04,0.05,0.05,-0.03,-37.50%,60.17%,160,15442,Put,07/02/20
255,0.06,-18.33%,0.05,0.06,0.06,-0.03,-33.33%,56.55%,224,1765,Put,07/02/20
260,0.06,-16.73%,0.06,0.07,0.07,-0.04,-40.00%,51.70%,267,2815,Put,07/02/20
265,0.08,-15.13%,0.08,0.08,0.09,-0.04,-33.33%,48.65%,335,27523,Put,07/02/20
270,0.09,-13.53%,0.09,0.1,0.1,-0.06,-40.00%,44.46%,968,3044,Put,07/02/20
271,0.1,-13.21%,0.1,0.11,0.11,-0.08,-44.44%,44.11%,2,43,Put,07/02/20
272,0.1,-12.88%,0.1,0.11,0.11,-0.07,-41.18%,43.11%,22,1653,Put,07/02/20
273,0.11,-12.56%,0.1,0.11,0.11,-0.07,-38.89%,42.69%,28,1395,Put,07/02/20
274,0.1,-12.24%,0.11,0.11,0.12,-0.09,-47.37%,41.12%,135,1392,Put,07/02/20
275,0.12,-11.92%,0.11,0.11,0.12,-0.07,-36.84%,41.21%,2429,8750,Put,07/02/20
276,0.12,-11.60%,0.12,0.13,0.13,-0.08,-40.00%,40.19%,317,1995,Put,07/02/20
277,0.13,-11.28%,0.12,0.13,0.13,-0.1,-43.48%,39.66%,21,1301,Put,07/02/20
278,0.13,-10.96%,0.13,0.14,0.14,-0.08,-38.10%,38.64%,26,1196,Put,07/02/20
279,0.13,-10.64%,0.13,0.14,0.14,-0.1,-43.48%,37.62%,51,1003,Put,07/02/20
280,0.13,-10.32%,0.14,0.15,0.15,-0.11,-45.83%,36.60%,3094,19575,Put,07/02/20
281,0.15,-10.00%,0.15,0.16,0.16,-0.12,-44.44%,36.39%,85,772,Put,07/02/20
282,0.16,-9.68%,0.15,0.16,0.17,-0.12,-42.86%,35.73%,62,1726,Put,07/02/20
283,0.16,-9.36%,0.16,0.17,0.18,-0.14,-46.67%,34.69%,177,2486,Put,07/02/20
284,0.19,-9.04%,0.17,0.18,0.18,-0.13,-40.63%,34.64%,78,967,Put,07/02/20
285,0.19,-8.72%,0.18,0.19,0.2,-0.16,-45.71%,33.57%,3402,10898,Put,07/02/20
286,0.19,-8.40%,0.19,0.2,0.21,-0.17,-47.22%,32.50%,11058,12455,Put,07/02/20
287,0.22,-8.08%,0.21,0.22,0.22,-0.18,-45.00%,32.27%,452,1543,Put,07/02/20
288,0.23,-7.76%,0.23,0.24,0.24,-0.24,-51.06%,31.44%,549,1221,Put,07/02/20
289,0.26,-7.44%,0.24,0.25,0.26,-0.26,-50.00%,31.06%,6548,5594,Put,07/02/20
290,0.28,-7.12%,0.27,0.28,0.28,-0.29,-50.88%,30.38%,35643,31369,Put,07/02/20
291,0.3,-6.80%,0.29,0.3,0.31,-0.31,-50.82%,29.66%,1760,1856,Put,07/02/20
292,0.33,-6.48%,0.32,0.33,0.34,-0.33,-50.00%,29.09%,1769,1477,Put,07/02/20
293,0.36,-6.16%,0.35,0.36,0.37,-0.4,-52.63%,28.46%,986,1251,Put,07/02/20
294,0.4,-5.84%,0.39,0.4,0.41,-0.43,-51.81%,27.94%,4227,2062,Put,07/02/20
295,0.44,-5.52%,0.44,0.45,0.46,-0.48,-52.17%,27.34%,11132,10965,Put,07/02/20
296,0.5,-5.20%,0.49,0.5,0.51,-0.52,-50.98%,26.94%,1827,5776,Put,07/02/20
297,0.57,-4.88%,0.55,0.56,0.57,-0.55,-49.11%,26.57%,2413,5367,Put,07/02/20
298,0.61,-4.56%,0.61,0.63,0.64,-0.61,-50.00%,25.74%,1952,1605,Put,07/02/20
299,0.7,-4.24%,0.68,0.7,0.71,-0.69,-49.64%,25.41%,9437,2247,Put,07/02/20
300,0.78,-3.92%,0.77,0.79,0.8,-0.74,-48.68%,24.84%,18078,47109,Put,07/02/20
301,0.87,-3.60%,0.86,0.88,0.9,-0.88,-50.29%,24.28%,12127,10957,Put,07/02/20
302,1,-3.28%,0.96,0.98,1,-0.84,-45.65%,23.95%,4226,4486,Put,07/02/20
303,1.1,-2.96%,1.08,1.1,1.12,-0.93,-45.81%,23.24%,3867,6195,Put,07/02/20
304,1.23,-2.64%,1.22,1.23,1.25,-1.02,-45.33%,22.66%,10320,4532,Put,07/02/20
305,1.35,-2.32%,1.37,1.39,1.41,-1.12,-45.34%,21.88%,10779,6137,Put,07/02/20
306,1.59,-2.00%,1.54,1.56,1.58,-1.14,-41.76%,21.80%,2288,2697,Put,07/02/20
307,1.72,-1.68%,1.73,1.75,1.77,-1.25,-42.09%,20.81%,4480,2506,Put,07/02/20
308,1.94,-1.35%,1.94,1.96,1.98,-1.36,-41.21%,20.25%,10227,2888,Put,07/02/20
309,2.2,-1.03%,2.19,2.21,2.23,-1.52,-40.86%,19.75%,22270,3661,Put,07/02/20
310,2.46,-0.71%,2.45,2.48,2.5,-1.64,-40.00%,19.06%,40115,9546,Put,07/02/20
311,2.75,-0.39%,2.75,2.78,2.81,-1.7,-38.20%,18.33%,3894,4171,Put,07/02/20
312,3.11,-0.07%,3.1,3.14,3.17,-1.8,-36.66%,17.75%,6479,1612,Put,07/02/20
313,3.49,+0.25%,3.49,3.53,3.56,-1.92,-35.49%,17.02%,6651,813,Put,07/02/20
314,3.95,+0.57%,3.93,3.97,4.01,-2.14,-35.14%,16.45%,6984,514,Put,07/02/20
315,4.45,+0.89%,4.41,4.46,4.5,-2.28,-33.88%,15.78%,13969,2358,Put,07/02/20
316,5.01,+1.21%,4.96,5.01,5.05,-1.42,-22.08%,15.10%,1250,285,Put,07/02/20
317,6.36,+1.53%,5.57,5.62,5.67,-1.6,-20.10%,19.09%,1741,200,Put,07/02/20
318,7.1,+1.85%,6.24,6.29,6.34,-0.91,-11.36%,19.19%,822,317,Put,07/02/20
319,7.51,+2.17%,6.89,7.03,7.16,-1.94,-20.53%,16.62%,282,533,Put,07/02/20
320,7.75,+2.49%,7.65,7.82,7.98,-2.53,-24.61%,9.59%,2450,2740,Put,07/02/20
321,9.31,+2.81%,8.45,8.64,8.82,-1.68,-15.29%,17.76%,208,288,Put,07/02/20
322,10.7,+3.13%,9.31,9.5,9.7,-0.58,-5.14%,22.50%,181,160,Put,07/02/20
323,9.6,+3.45%,10.21,10.41,10.6,-7.68,-44.44%,0.00%,9,52,Put,07/02/20
324,9.43,+3.77%,11.13,11.33,11.53,-7.6,-44.63%,0.00%,5,37,Put,07/02/20
325,11.97,+4.09%,12.07,12.28,12.48,-2.8,-18.96%,4.35%,72,74,Put,07/02/20
326,11,+4.41%,13.02,13.23,13.44,-4.54,-29.21%,0.00%,1,37,Put,07/02/20
327,14.55,+4.73%,13.99,14.2,14.41,-9.54,-39.60%,10.14%,1,23,Put,07/02/20
328,17.94,+5.05%,14.96,15.18,15.39,-0.36,-1.97%,10.66%,10,43,Put,07/01/20
329,14.73,+5.37%,15.95,16.17,16.38,-4.87,-24.85%,0.00%,3,6,Put,07/02/20
330,15.98,+5.69%,16.93,17.15,17.36,-4.11,-20.46%,0.00%,29,90,Put,07/02/20
331,16.95,+6.01%,17.91,18.13,18.34,-11.09,-39.55%,0.00%,1,24,Put,07/02/20
332,17.23,+6.33%,18.92,19.14,19.35,0.7,+4.23%,0.00%,1,1,Put,07/02/20
333,24.88,+6.65%,19.91,20.13,20.34,-8.33,-25.08%,11.12%,8,23,Put,06/30/20
334,20.47,+6.97%,20.9,21.12,21.34,20.47,unch,22.62%,8,0,Put,07/02/20
335,26.77,+7.29%,21.9,22.12,22.33,-4.57,-14.58%,10.76%,7,7,Put,06/30/20
336,25.98,+7.61%,22.88,23.1,23.33,25.98,unch,10.17%,1,1,Put,06/16/20
337,0,+7.93%,23.89,24.11,24.33,0,unch,10.01%,0,0,Put,N/A
338,0,+8.25%,24.89,25.11,25.32,0,unch,9.28%,0,0,Put,N/A
339,33.4,+8.57%,25.89,26.11,26.33,33.4,unch,8.83%,0,2,Put,N/A
340,26.3,+8.89%,26.89,27.11,27.33,-3.1,-10.54%,22.55%,5,39,Put,07/02/20
341,23.05,+9.21%,27.89,28.11,28.33,23.05,unch,6.85%,0,50,Put,N/A
342,25.1,+9.53%,28.89,29.11,29.33,25.1,unch,5.46%,0,1,Put,N/A
343,0,+9.85%,29.89,30.11,30.33,0,unch,3.75%,0,0,Put,N/A
344,30.38,+10.18%,30.89,31.11,31.33,30.38,unch,22.99%,2,0,Put,07/02/20
345,0,+10.50%,31.89,32.11,32.33,0,unch,31.45%,0,0,Put,N/A
346,0,+10.82%,32.89,33.11,33.33,0,unch,31.56%,0,0,Put,N/A
347,0,+11.14%,33.89,34.11,34.33,0,unch,31.61%,0,0,Put,N/A
348,32.84,+11.46%,34.89,35.11,35.33,-10.52,-24.26%,0.19%,5,5,Put,07/02/20
349,0,+11.78%,35.89,36.11,36.33,0,unch,31.60%,0,0,Put,N/A
350,44.65,+12.10%,36.89,37.11,37.33,6.3,+16.43%,31.52%,15,15,Put,06/24/20
351,0,+12.42%,37.89,38.11,38.33,0,unch,31.39%,0,0,Put,N/A
352,0,+12.74%,38.89,39.11,39.33,0,unch,31.21%,0,0,Put,N/A
353,0,+13.06%,39.89,40.11,40.33,0,unch,30.98%,0,0,Put,N/A
355,0,+13.70%,41.89,42.11,42.33,0,unch,30.34%,0,0,Put,N/A
360,50.03,+15.30%,46.89,47.11,47.33,50.03,unch,27.54%,2,1,Put,06/22/20
365,0,+16.90%,51.89,52.11,52.33,0,unch,22.44%,0,0,Put,N/A
370,0,+18.50%,56.89,57.11,57.33,0,unch,13.87%,0,0,Put,N/A
375,62,+20.10%,61.9,62.11,62.33,62,unch,0.25%,2,0,Put,06/23/20
380,0,+21.71%,66.89,67.11,67.33,0,unch,0.00%,0,0,Put,N/A
385,75.19,+23.31%,71.9,72.12,72.33,2.19,+3.00%,0.00%,6,8,Put,06/18/20
390,77.95,+24.91%,76.88,77.1,77.33,-3.78,-4.62%,74.04%,3,5,Put,07/02/20
